Arabidopsis thaliana
Mchenga conophoros
Labeotropheus fuelleborni
Melanochromis auratus
Rhamphochromis esox
Thunnus orientalis
Sebastes rubrivinctus
Sebastes nigrocinctus
Anoplopoma fimbria
Dicentrarchus labrax
Anguilla anguilla
Pampus argenteus
Pimephales promelas
Amphilophus citrinellus
Periophthalmodon schlosseri
Periophthalmus magnuspinnatus
Scartelaos histophorus
Pseudopleuronectes yokohamae
Squalius pyrenaicus
Cottus rhenanus
Miichthys miiuy
Anguilla rostrata
Mola mola
Paralichthys olivaceus
Sebastes minor
Sebastes steindachneri
Sebastes aleutianus
Maccullochella peelii
Seriola quinqueradiata
Micropterus floridanus
Coryphaenoides rupestris
Pagrus major
Seriola rivoliana
Amphiprion percula
Seriola lalandi
Gambusia affinis
Scophthalmus maximus
Thunnus thynnus
Hucho hucho
Xiphophorus hellerii
Ageneiosus marmoratus
Bos taurus indicus
Pungitius pungitius
Perca fluviatilis
Oplegnathus fasciatus
Oxygymnocypris stewartii
Anguilla japonica
Morone chrysops
Tenualosa ilisha
Takifugu flavidus
Anabarilius grahami
Calypte anna
Oryzias javanicus
Ictalurus punctatus
Takifugu bimaculatus
Rhinolophus ferrumequinum
Acipenser ruthenus
Labeo rohita
Poropuntius huangchuchieni
Hypophthalmichthys nobilis
Megaptera novaeangliae
Sebastes schlegelii
Sebastes koreanus
Sebastes nudus
Thymallus thymallus
Anarrhichthys ocellatus
Ophiodon elongatus
Hypophthalmichthys molitrix
Morone saxatilis
Planiliza haematocheilus
Epinephelus lanceolatus
Macquaria australasica
Oreochromis aureus
Triplophysa siluroides
Reinhardtius hippoglossoides
Gasterosteus aculeatus
Liparis tanakae
Pachypanchax playfairii
Callopanchax toddi
Aphyosemion australe
Nothobranchius kuhntae
Neogobius melanostomus
Danionella translucida
Arapaima gigas
Kryptolebias hermaphroditus
Thalassoma bifasciatum
Oreochromis spilurus
Sander lucioperca
Alca torda
Pristis pectinata
Geothlypis trichas
Tauraco erythrolophus
Pterocles gutturalis
Bucorvus abyssinicus
Merops nubicus
Sterna hirundo
Sylvia atricapilla
Phoenicopterus ruber
Cariama cristata
Balearica regulorum
Antennarius maculatus
Nyctibius grandis
Anableps anableps
Sylvia borin
Dryobates pubescens
Xenentodon cancila
Pogoniulus pusillus
Dromaius novaehollandiae
Homo sapiens
Acanthisitta chloris
Pluvialis apricaria
Ciconia maguari
Aplochiton taeniatus
Cuculus canorus
Pholidichthys leucotaenia
Tautogolabrus adspersus
Hemiprocne comata
Theristicus caerulescens
Trogon surrucura
Porphyrio hochstetteri
Diceros bicornis
Falco cherrug
Falco peregrinus
Falco biarmicus
Tamandua tetradactyla
Vipera latastei
Gopherus flavomarginatus
Mesoplodon densirostris
Eschrichtius robustus
Leuciscus waleckii
Melanogrammus aeglefinus
Osmerus eperlanus
Percopsis transmontana
Parasudis fraserbrunneri
Polymixia japonica
Phycis blennoides
Muraenolepis marmorata
Phycis phycis
Melanonus zugmayeri
Cyttopsis rosea
Macrourus berglax
Bathygadus melanobranchus
Lota lota
Bregmaceros cantori
Typhlichthys subterraneus
Trisopterus minutus
Brosme brosme
Boreogadus saida
Lampris guttatus
Myripristis jacobus
Gadus chalcogrammus
Regalecus glesne
Gadiculus argenteus
Rondeletia loricata
Holocentrus rufus
Thunnus albacares
Sebastes norvegicus
Spondyliosoma cantharus
Parablennius parvicornis
Mora moro
Trachyrincus scabrus
Laemonema laureysi
Arctogadus glacialis
Selene dorsalis
Lesueurigobius sanzi
Brotula barbata
Antennarius striatus
Merluccius merluccius
Lamprogrammus exutus
Beryx splendens
Acanthochaenus luetkenii
Malacocephalus occidentalis
Guentherus altivela
Stylephorus chordatus
Merluccius polli
Pollachius virens
Carapus acus
Merluccius capensis
Myoxocephalus scorpius
Molva molva
Trachyrincus murrayi
Symphodus melops
Borostomias antarcticus
Zeus faber
Pseudochromis fuscus
Merlangius merlangus
Monocentris japonica
Benthosema glaciale
Mastacembelus armatus
Nibea albiflora
Simochromis diagramma
Danionella dracula
Sardina pilchardus
Trachinotus ovatus
Hypoplectrus puella
Diretmus argenteus
Diretmoides pauciradiatus
Opsanus beta
Hoplostethus atlanticus
Gephyroberyx darwinii
Anoplogaster cornuta
Clupea harengus
Streptopelia turtur
Syngnathus acus
Sciurus vulgaris
Danio rerio
Danio rerio
Erithacus rubecula
Pipistrellus pipistrellus
Trachurus trachurus
Salmo salar
Canis lupus
Caprimulgus europaeus
Taurulus bubalis
Pholis gunnellus
Meles meles
Telmatherina bonti
Barbus barbus
Danio rerio
Silurus aristotelis
Barbatula barbatula
Apodemus sylvaticus
Vipera ursinii
Drosophila melanogaster
Homo sapiens
Danio rerio
Salmo salar
Maylandia zebra
Haplochromis nyererei
Neolamprologus brichardi
Astatotilapia burtoni
Lepisosteus oculatus
Astyanax mexicanus
Poecilia formosa
Cynoglossus semilaevis
Poecilia reticulata
Stegastes partitus
Cyprinodon variegatus
Notothenia coriiceps
Boleophthalmus pectinirostris
Fundulus heteroclitus
Cyprinus carpio
Larimichthys crocea
Austrofundulus limnaeus
Poecilia latipinna
Poecilia mexicana
Xiphophorus couchianus
Nothobranchius furzeri
Sinocyclocheilus anshuiensis
Sinocyclocheilus rhinocerous
Sinocyclocheilus grahami
Lates calcarifer
Pygocentrus nattereri
Oreochromis niloticus
Hippocampus comes
Oncorhynchus kisutch
Acanthochromis polyacanthus
Oncorhynchus mykiss
Oryzias latipes
Seriola dumerili
Amphiprion ocellaris
Paramormyrops kingsleyae
Oncorhynchus tshawytscha
Salvelinus alpinus
Oryzias melastigma
Carassius auratus
Bos taurus
Electrophorus electricus
Pangasianodon hypophthalmus
Tachysurus fulvidraco
Taeniopygia guttata
Strigops habroptila
Ornithorhynchus anatinus
Phyllostomus discolor
Perca flavescens
Esox lucius
Oncorhynchus nerka
Globicephala melas
Archocentrus centrarchus
Gopherus evgoodei
Lynx canadensis
Phocoena sinus
Corvus moneduloides
Zalophus californianus
Notolabrus celidotus
Dermochelys coriacea
Thamnophis elegans
Cyclopterus lumpus
Cygnus olor
Lacerta agilis
Hippoglossus hippoglossus
Aythya fuligula
Catharus ustulatus
Periophthalmus magnuspinnatus
Chiroxiphia lanceolata
Mustela erminea
Balaenoptera musculus
Amblyraja radiata
Petromyzon marinus
Esox lucius
Trichosurus vulpecula
Tursiops truncatus
Anguilla anguilla
Electrophorus electricus
Megalops cyprinoides
Myotis myotis
Pipistrellus kuhlii
Molossus molossus
Rousettus aegyptiacus
Falco rusticolus
Choloepus didactylus
Pygocentrus nattereri
Sebastes umbrosus
Rattus norvegicus
Hirundo rustica
Chelonia mydas
Anas platyrhynchos
Tachyglossus aculeatus
Gallus gallus
Carcharodon carcharias
Falco naumanni
Melanotaenia boesemani
Chelmon rostratus
Toxotes jaculatrix
Alosa sapidissima
Dromiciops gliroides
Scatophagus argus
Lemur catta
Jaculus jaculus
Corvus hawaiiensis
Apus apus
Girardinichthys multiradiatus
Elephas maximus
Gopherus flavomarginatus
Labrus bergylta
Astatotilapia calliptera
Anabas testudineus
Mastacembelus armatus
Aquila chrysaetos
Cottoperca gobio
Parambassis ranga
Gouania willdenowi
Betta splendens
Betta splendens
Denticeps clupeoides
Erpetoichthys calabaricus
Sparus aurata
Echeneis naucrates
Scleropages formosus
Takifugu rubripes
Rhinatrema bivittatum
Salmo trutta
Syngnathus acus
Microcaecilia unicolor
Salarias fasciatus
Sphaeramia orbicularis
Myripristis murdjan
Gadus morhua
Chanos chanos
Asterias rubens
Geotrypetes seraphini
Thalassophryne amazonica
Pecten maximus
Lutra lutra
Sciurus carolinensis
Arvicola amphibius
Onychomys torridus
Acomys russatus
Acanthopagrus latus
Aricia agestis
Pararge aegeria
Bufo bufo
Rana temporaria
Cervus elaphus
Thunnus maccoyii
Thunnus albacares
Synechocystis
Ichthyosaura alpestris
Ostorhinchus doederleini
Sprattus sprattus
Callinectes sapidus
Scylla paramamosain
Portunus trituberculatus
Eriocheir sinensis
Paralithodes platypus
Chionoecetes opilio
Penaeus chinensis
Penaeus monodon
Penaeus japonicus
Penaeus vannamei
Penaeus indicus
Macrobrachium nipponense
Cherax quadricarinatus
Procambarus virginalis
Armadillidium nasatum
Armadillidium vulgare
Hyalella azteca
Trinorchestia longiramus
Parhyale hawaiensis
Darwinula stevensoni
Notodromas monacha
Cyprideis torosa
Amphibalanus amphitrite
Pollicipes pollicipes
Caligus rogercresseyi
Lepeophtheirus salmonis
Tigriopus californicus
Eurytemora affinis
Daphnia pulicaria
Daphnia magna
Daphnia pulex
Lepidurus arcticus
Lepidurus apus
Danus plexippus
Cataglyphus hispanica
Apis mellifera
Apis cerana
Bombus terrestris
